Ano,Region ,Hombre,Mujer
2017,San José de Ocoa,13,1
2017,Región Enriquillo,39,8
2017,Baoruco,15,1
2017,Barahona,16,5
2017,Independencia,5,1
2017,Pedernales,3,1
2017,Región El Valle,112,17
2017,Azua,55,6
2017,Elías Piña,8,1
2017,San Juan,49,10
2017,Región Yuma,128,14
2017,El Seibo,13,2
2017,La Altagracia,77,7
2017,La Romana,38,5
2017,Región Higuamo,88,14
2017,San Pedro de Macorís,45,9
2017,Monte Plata,31,4
2017,Hato Mayor,12,1
2017,No declarado ,0,0
2018,Región Ozama,261,19
2018,Distrito Nacional,81,2
2018,Santo Domingo,180,17
2018,Región Cibao Norte,193,34
2018,Espaillat,28,6
2018,Puerto Plata,31,8
2018,Santiago,134,20
2018,Región Cibao Sur,134,27
2018,La Vega,85,12
2018,Sánchez Ramírez,11,0
2018,Monseñor Nouel,38,15
2018,Región Cibao Nordeste,100,16
2018,Duarte,39,5
2018,María Trinidad Sánchez,24,7
2018,Hermanas Mirabal,12,2
2018,Samaná,25,2
2018,Región Cibao Noroeste,63,13
2018,Dajabón,4,0
2018,Monte Cristi,20,7
2018,Santiago Rodríguez,5,2
2018,Valverde,34,4
2018,Región Valdesia,187,19
2018,Peravia,47,4
2018,San Cristóbal,130,15
2018,San José de Ocoa,10,0
2018,Región Enriquillo,30,5
2018,Baoruco,11,2
2018,Barahona,14,1
2018,Independencia,4,1
2018,Pedernales,1,1
2018,Región El Valle,116,17
2018,Azua,43,8
2018,Elías Piña,6,1
2018,San Juan,67,8
2018,Región Yuma,104,13
2018,El Seibo,29,2
2018,La Altagracia,73,11
2018,La Romana,2,0
2018,Región Higuamo,65,11
2018,San Pedro de Macorís,21,8
2018,Monte Plata,34,3
2018,Hato Mayor,10,0
2018,No declarado ,0,0
2019,Región Ozama,336,52
2019,Distrito Nacional,75,15
2019,Santo Domingo,261,37
2019,Región Cibao Norte,295,37
2019,Espaillat,50,12
2019,Puerto Plata,98,8
2019,Santiago,147,17
2019,Región Cibao Sur,244,37
2019,La Vega,149,18
2019,Sánchez Ramírez,37,4
2019,Monseñor Nouel,58,15
2019,Región Cibao Nordeste,165,23
2019,Duarte,55,8
2019,María Trinidad Sánchez,56,8
2019,Hermanas Mirabal,22,1
2019,Samaná,32,6
2019,Región Cibao Noroeste,109,14
2019,Dajabón,16,0
2019,Monte Cristi,27,3
2019,Santiago Rodríguez,19,3
2019,Valverde,47,8
2019,Región Valdesia,197,29
2019,Peravia,48,9
2019,San Cristóbal,127,19
2019,San José de Ocoa,22,1
2019,Región Enriquillo,71,9
2019,Baoruco,16,3
2019,Barahona,40,4
2019,Independencia,12,0
2019,Pedernales,3,2
2019,Región El Valle,130,21
2019,Azua,68,12
2019,Elías Piña,7,0
2019,San Juan,55,9
2019,Región Yuma,186,14
2019,El Seibo,22,2
2019,La Altagracia,130,10
2019,La Romana,34,2
2019,Región Higuamo,112,12
2019,San Pedro de Macorís,63,6
2019,Monte Plata,38,3
2019,Hato Mayor,11,3
2019,No declarado ,0,0
2020,Región Ozama,258,51
2020,Distrito Nacional,66,9
2020,Santo Domingo,192,42
2020,Región Cibao Norte,194,28
2020,Espaillat,31,7
2020,Puerto Plata,56,8
2020,Santiago,107,13
2020,Región Cibao Sur,187,29
2020,La Vega,111,15
2020,Sánchez Ramírez,26,7
2020,Monseñor Nouel,50,7
2020,Región Cibao Nordeste,147,18
2020,Duarte,50,6
2020,María Trinidad Sánchez,28,0
2020,Hermanas Mirabal,26,3
2020,Samaná,43,9
2020,Región Cibao Noroeste,103,14
2020,Dajabón,21,1
2020,Monte Cristi,32,7
2020,Santiago Rodríguez,15,2
2020,Valverde,35,4
2020,Región Valdesia,194,44
2020,Peravia,48,11
2020,San Cristóbal,133,31
2020,San José de Ocoa,13,2
2020,Región Enriquillo,59,6
2020,Baoruco,29,1
2020,Barahona,19,2
2020,Independencia,7,2
2020,Pedernales,4,1
2020,Región El Valle,99,13
2020,Azua,60,7
2020,Elías Piña,9,2
2020,San Juan,30,4
2020,Región Yuma,124,19
2020,El Seibo,13,3
2020,La Altagracia,75,11
2020,La Romana,36,5
2020,Región Higuamo,115,13
2020,San Pedro de Macorís,44,5
2020,Monte Plata,55,6
2020,Hato Mayor,16,2
2020,No declarado ,0,0
2021,Región Ozama,263,41
2021,Distrito Nacional,74,14
2021,Santo Domingo,189,27
2021,Región Cibao Norte,258,30
2021,Espaillat,53,5
2021,Puerto Plata,73,5
2021,Santiago,132,20
2021,Región Cibao Sur,206,31
2021,La Vega,111,14
2021,Sánchez Ramírez,36,2
2021,Monseñor Nouel,59,15
2021,Región Cibao Nordeste,142,12
2021,Duarte,48,4
2021,María Trinidad Sánchez,41,3
2021,Hermanas Mirabal,27,1
2021,Samaná,26,4
2021,Región Cibao Noroeste,127,13
2021,Dajabón,22,2
2021,Monte Cristi,49,3
2021,Santiago Rodríguez,16,3
2021,Valverde,40,5
2021,Región Valdesia,167,17
2021,Peravia,53,8
2021,San Cristóbal,99,9
2021,San José de Ocoa,15,0
2021,Región Enriquillo,59,15
2021,Baoruco,17,3
2021,Barahona,29,7
2021,Independencia,9,3
2021,Pedernales,4,2
2021,Región El Valle,121,10
2021,Azua,58,8
2021,Elías Piña,7,1
2021,San Juan,56,1
2021,Región Yuma,177,25
2021,El Seibo,23,4
2021,La Altagracia,110,13
2021,La Romana,44,8
2021,Región Higuamo,127,17
2021,San Pedro de Macorís,56,15
2021,Monte Plata,56,1
2021,Hato Mayor,15,1
2021,No declarado ,0,0
2022,Región Ozama,283,40
2022,Distrito Nacional,78,11
2022,Santo Domingo,205,29
2022,Región Cibao Norte,223,20
2022,Espaillat,49,3
2022,Puerto Plata,65,6
2022,Santiago,109,11
2022,Región Cibao Sur,185,28
2022,La Vega,104,18
2022,Sánchez Ramírez,24,5
2022,Monseñor Nouel,57,5
2022,Región Cibao Nordeste,160,15
2022,Duarte,56,4
2022,María Trinidad Sánchez,42,4
2022,Hermanas Mirabal,18,2
2022,Samaná,44,5
2022,Región Cibao Noroeste,95,13
2022,Dajabón,18,2
2022,Monte Cristi,35,3
2022,Santiago Rodríguez,16,4
2022,Valverde,26,4
